record_id,object_id,longitude,latitude,elevation,condition,year_inspected,status_code,study_area,split,selection_order,split_seed,image_count,pano_count,non_pano_count,newest_captured_at,oldest_captured_at,coverage_available
ADA_CurbRampPt_33719,33719,-77.0296051286056,38.92961777523702,24.385999999998603,Missing,2016,1,columbia_heights_petworth,development,6,20260922,65,6,59,1765205694225,1509184688000,1
ADA_CurbRampPt_28350,28350,-77.03662490952593,38.92262483774415,22.539199999999255,Non-Compliant,2016,1,columbia_heights_petworth,development,1,20260922,7,1,6,1762952798124,1601144991000,1
ADA_CurbRampPt_13132,13132,-77.02200368230952,38.94832898089922,34.68369999999413,Non-Compliant,2016,1,columbia_heights_petworth,development,2,20260922,54,4,50,1786975796620,1535622649000,1
ADA_CurbRampPt_5286,5286,-77.01673414941789,38.93836118806195,40.309800000002724,Non-Compliant,2016,1,columbia_heights_petworth,development,3,20260922,16,7,9,1647614762000,1533469239000,1
ADA_CurbRampPt_17245,17245,-77.02727272637662,38.937555565721254,24.61130000000412,Non-Compliant,2016,1,columbia_heights_petworth,development,4,20260922,18,0,18,1533471449000,1533470927000,1
ADA_CurbRampPt_7434,7434,-77.02356821939512,38.948301609648986,30.55580000000191,Non-Compliant,2016,1,columbia_heights_petworth,development,5,20260922,21,2,19,1786973832306,1561063185000,1
ADA_CurbRampPt_18370,18370,-77.02624654687698,38.933501846946285,25.0173000000068,Non-Compliant,2016,1,columbia_heights_petworth,development,6,20260922,58,11,47,1764769947843,1533471594000,1
ADA_CurbRampPt_18235,18235,-76.9995996473107,38.8783516516451,-23.432700000004843,Fair,2016,1,navy_yard_capitol_riverfront,development,1,20260922,78,5,73,1778510688488,1576685671500,1
ADA_CurbRampPt_13134,13134,-77.00065393646626,38.88568661940215,-9.738100000002305,Fair,2016,1,navy_yard_capitol_riverfront,development,2,20260922,82,11,71,1776695769964,1489240707000,1
ADA_CurbRampPt_30857,30857,-76.98659136018951,38.8852956158599,-7.645699999993667,Fair,2016,1,navy_yard_capitol_riverfront,development,3,20260922,86,8,78,1707496591306,1564760059000,1
ADA_CurbRampPt_12580,12580,-77.00495685802292,38.87835059305505,-24.892500000001746,Fair,2016,1,navy_yard_capitol_riverfront,development,4,20260922,78,19,59,1778508375540,1564344532000,1
ADA_CurbRampPt_27075,27075,-77.00890032122895,38.88112961025937,-28.97400000000198,Fair,2016,1,navy_yard_capitol_riverfront,development,5,20260922,95,9,86,1644848140000,1535550796000,1
ADA_CurbRampPt_33297,33297,-76.99166982307699,38.87466943686707,-22.398700000005192,Fair,2016,1,navy_yard_capitol_riverfront,development,6,20260922,68,18,50,1778261180602,1532264976497,1
ADA_CurbRampPt_25527,25527,-76.9927088835384,38.88991085909801,-6.876600000003236,Good,2016,1,navy_yard_capitol_riverfront,development,1,20260922,9,0,9,1673556453719,1573920715307,1
ADA_CurbRampPt_34156,34156,-77.01179214355344,38.88599994088841,-28.163100000005215,Good,2016,1,navy_yard_capitol_riverfront,development,2,20260922,2,1,1,1642601703000,1607011708666,1
ADA_CurbRampPt_34719,34719,-76.98544610992076,38.89087855346415,-7.375199999994948,Good,2016,1,navy_yard_capitol_riverfront,development,3,20260922,18,3,15,1700059402259,1563309304500,1
ADA_CurbRampPt_16824,16824,-76.9925638240695,38.888782094868176,-5.578999999997905,Good,2016,1,navy_yard_capitol_riverfront,development,4,20260922,2,1,1,1704391509448,1563215728000,1
ADA_CurbRampPt_31623,31623,-76.99852358282406,38.88660699025948,-7.073999999993248,Good,2016,1,navy_yard_capitol_riverfront,development,5,20260922,25,3,22,1776695124009,1544719702614,1
ADA_CurbRampPt_23858,23858,-77.00069157249165,38.87993503214102,-20.415599999992992,Good,2016,1,navy_yard_capitol_riverfront,development,6,20260922,17,6,11,1639666953000,1567688383000,1
ADA_CurbRampPt_8198,8198,-77.01224247889041,38.873043529433374,-27.98519999999553,Missing,2016,1,navy_yard_capitol_riverfront,development,1,20260922,25,2,23,1707230840705,1564339797000,1
ADA_CurbRampPt_15546,15546,-77.00356892172714,38.88045257026634,-21.643700000000536,Missing,2016,2,navy_yard_capitol_riverfront,development,2,20260922,100,18,82,1777993417458,1489232412000,1
ADA_CurbRampPt_8200,8200,-76.99835383905724,38.88765330241872,-7.881599999993341,Missing,2016,1,navy_yard_capitol_riverfront,development,3,20260922,0,0,0,,,0
ADA_CurbRampPt_24263,24263,-76.99835933252062,38.89352183474524,-7.482399999993504,Missing,2016,1,navy_yard_capitol_riverfront,development,4,20260922,8,1,7,1776175214759,1512726954000,1
ADA_CurbRampPt_27681,27681,-76.99381626848489,38.887527415045085,-6.381599999993341,Missing,2016,1,navy_yard_capitol_riverfront,development,5,20260922,44,5,39,1719159943993,1563215085000,1
ADA_CurbRampPt_7803,7803,-76.99942152721773,38.888639738200055,-7.446800000005169,Missing,2016,1,navy_yard_capitol_riverfront,development,6,20260922,0,0,0,,,0
ADA_CurbRampPt_14345,14345,-76.99368058808355,38.88268461042921,-10.097999999998137,Non-Compliant,2016,1,navy_yard_capitol_riverfront,development,1,20260922,2,2,0,1563215236000,1563215236000,1
ADA_CurbRampPt_34431,34431,-76.99942083376978,38.87846802674341,-23.40810000000056,Non-Compliant,2016,1,navy_yard_capitol_riverfront,development,2,20260922,68,16,52,1778510672520,1567692005000,1
ADA_CurbRampPt_8392,8392,-76.9938236529943,38.89115385304683,-7.812300000005052,Non-Compliant,2016,1,navy_yard_capitol_riverfront,development,3,20260922,80,3,77,1762969478029,1563214086500,1
ADA_CurbRampPt_28397,28397,-77.00362520470689,38.885018648225596,-11.910999999992782,Non-Compliant,2016,1,navy_yard_capitol_riverfront,development,4,20260922,0,0,0,,,0
ADA_CurbRampPt_16513,16513,-76.99961027392658,38.89474277066115,-10.032800000000861,Non-Compliant,2016,1,navy_yard_capitol_riverfront,development,5,20260922,14,2,12,1704816909905,1535279804000,1
ADA_CurbRampPt_19864,19864,-77.0105778834377,38.87472427157357,-24.794699999998556,Non-Compliant,2016,1,navy_yard_capitol_riverfront,development,6,20260922,1,1,0,1564341897000,1564341897000,1
